text	labels
Erste Früchte trug die Spielweise der Gastgeber schon nach wenigen Minuten: Gleich doppelt scheiterte am gut reagierenden Sven Bollmann im TSG-Tor, wenige Augenblicke später machte es Mitspieler Miguel Cabalero-Hajdinaj besser: Aus gut dreißig Metern schloss Cabalero-Hajdinaj ab, sein Ball landete unhaltbar und sehenswert im Winkel (17.).	Clean
Keine 15m von unserem gestrigen Endpunkt entfernt, stehen wir einem Sedimenthaufen gegenüber, der sich vom übrigen Umfeld durch seine fast weiße Farbe markant abhebt.	Clean
Dadurch verteilen Bonellfedern den Körperdruck flächenelastisch.	Clean
Only washed twice so far and no problems.	Grammar Mistake,Spelling Anomaly
Er ist Moralist.	Clean
Jetzt verpulvert die erste Großstadt ihr Verkehrsbudget für E-Karren	Sentence Boundary
Qualitätsingenieur (m/w) Software in Ingolstadt - Koblenzer Jobanzeiger	Sentence Boundary,Grammar Mistake
Diese Webseite ist ein Informationsangebot der	Sentence Boundary,Grammar Mistake
Zu Salaten ebenso wie zu leicht gewärmtem Gemüse zu empfehlen.	Clean
Diese schöne 2-Zimmer-Wohnung befindet sich im 5. Bezirk Wiens.	Clean
Worin diese bestehen, das ist im größten offenen politisch-ökonomischen Laboratorium dieser Welt wie unter einem Brennglas zu sehen.	Clean
Hier treffen kieferorthopädische, chirurgische und ästhetische Forderungen aufeinander.	Clean
Damit Du einschätzen kannst, wie diese Instrumente wirken, siehst Du nachfolgend fiktive energiepolitische Entscheidungen einer möglichen anderen Regierung:	Sentence Boundary
Weiterlesen: Stochern im EHEC-Nebel	Sentence Boundary,Grammar Mistake
Erst mit der Zeit muss Casey dann erkennen, was der neue Ruhm angerichtet hat.	Clean
Ohne Markise oder Schirm lässt es sich dort kaum aushalten.	Clean
Erdäpfelmasse darin verteilen, wenig flach drücken und beidseitig knusprig braten.	Clean
Beruht indessen die Anerkennungsentscheidung auf einer zumindest vertretbaren Rechtsanwendung, kann ihr der Makel einer greifbaren Rechtswidrigkeit nicht anhaften.	Clean
Er erklärt die zentralen yezidischen Themen, den theologischen Aufbau, sowie Bräuche und Traditionen.	Clean
„Wie die Triebbefriedigung Glück ist, so wird es Ursache schweren Leidens, wenn die Außenwelt uns darben läßt, die Sättigung unserer Bedürfnisse verweigert.“	Clean
Zugtickets und auch der öffentliche Nahverkehr in den Großstädten sind auch teurer, die Strecke Tokyo – Kyoto kostet ungefähr 120 € p. P.	Clean
Berufsgenossenschaft Nahrungsmittel und Gaststätten	Sentence Boundary,Grammar Mistake
Andere Aufgaben erarbeiten Sie qualifiziert in Ihrem Team von Spezialisten.	Clean
„Vor der Schöpfung kommt die Zerstörung“, sagt er, während er für einen Angriff sammelt.	Clean
Auf ihn geht auch der Bau des alten Puttinggreens und der Bau der heutigen Bahnen 2, 3 und 7 zurück.	Clean
: Gegründet 1981 in Frankfurt am Main hat sich Jack Wolfskin in den vergangenen Jahren zu einer der besten Marken für Outdoor-Bekleidung entwickelt.	Sentence Boundary
„Ältere meinen oft, zu einem guten Training gehöre Muskelkater, um zu wirken.	Punctuation Error
Dabei geht es häufig um Themen wie die Energiewende, die Steuerpolitik, die Eurokrise oder den Arbeitsmarkt.	Clean
Hierfür eignen sich Kartonboxen gut, sofern Sie die Kleidungsstücke an einem trockenen Ort lagern.	Clean
Jenseits halten Sie sich bald an einer Weggabelung zunächst rechts und kurz darauf links, um nach ein paar hundert Metern zu einem großen Waldpausenplatz (mit Klettergerüst etc.) zu gelangen.	Clean
Durch den Einsatz von Cookies kann die Egger & Graf Immobilien GmbH den Nutzern dieser Internetseite nutzerfreundlichere Services bereitstellen, die ohne die Cookie-Setzung nicht möglich wären.	Clean
In der Endkonsequenz spielt es dabei keine Rolle, ob die Straftat islamistisch, deutschenfeindlich oder antisemitisch motiviert war.	Clean
Dieser zeigt sofort, wofür er geholt wird und schießt den Ball aus 5 Metern unhaltbar ins Tor.	Clean
Mit mehr Konzentration und Gelassenheit gelingt Ihnen die Umsetzung der eigenen Visionen und Ziele.	Clean
: Mikrokernel sind aufgrund dieser Ziele nicht ganz so schnell wie monolithische Betriebssysteme, denn sie haben mehr Kommunikations-Aufwand.	Sentence Boundary
Seit 2010 erscheint das BMW MAGAZIN – DRIVEN zudem als Onlineversion für das iPad und wird ab 2013 in erweiterter digitaler Form verfügbar sein.	Spelling Anomaly
Der Bundesrat hatte bereits per eigener Initiative im März 2013 einen Mindestlohn ohne Ausnahmen beschlossen.	Clean
Beratungsinitiative für Spitzenerträge	Sentence Boundary,Grammar Mistake
Wie gehen Kulturinstitutionen mit diesem Wissen und dieser Situation um?	Clean
Weitere Abmessungen entwickeln wir gerne anhand Ihrer individuellen Anforderungen.	Clean
Jetzt wollen die vier Damen ihr gesamtes Scheinvermögen dem örtlichen Geselligkeitsverein vermachen.	Clean
Für Infrastrukturmaßnahmen ist hierbei insbesondere § 44 Absatz 5 zu beachten.	Clean
Am Freitag, 14. September ist Redaktionsschluss für den Aufruf.	Clean
Wenn deren Ausreise verhindert wird, könnten sie sich hierzulande als tickende Zeitbomben erweisen.	Clean
Um besonders talentierte Schüler individuell zu fördern, bietet das Karate Zentral Dojo Konstanz e.V. ein spezielles Taltentkader-Training an.	Clean
Jeder wisse, dass die Türkei heute ganz sicher nicht reif ist für die EU, und auch die EU nicht reif für die Türkei sei, so Schüssel, der auch betonte, dass Österreich nicht den Oberlehrer für andere Staaten spielen werde, der den Abzug sämtlicher Soldaten aus dem Irak fordere.	Clean
Hierzu kann ich gerne mal einen eigenen Post verfassen, da ich das Arbeiten mit Listen einfach am effektivsten und produktivsten finde.	Clean
Sie können jederzeit dem Erhalt sämtlicher Arten von Newslettern von uns widersprechen, ohne dass hierfür andere als die Übermittlungskosten nach den Basistarifen (d.h. bspw. die Kosten Ihres Internetproviders) entstehen.	Clean
Diese passen wir individuell an deine Zustand und Zielen an.	Grammar Mistake
Details über Schäden und Restaurierungen Altersbedingte Gebrauchsspuren.	Grammar Mistake,Spelling Anomaly
Der gelieferte Strom, den ein Konsument von seinem Stromlieferanten bezieht, macht etwa ein Drittel der gesamten Stromrechnung aus.	Clean
Die Bindungen sollten anfangs in Fahrtrichtung zeigen.	Clean
Wenn Sie Interesse haben, melden Sie sich  gerne direkt bei	Sentence Boundary,Grammar Mistake
Platz vier belegt der Opel Ampera-e mit 95 Punkten.	Clean
In: Interner Nachrichtendienst der ELIN (IND), Nr. 4, Wien, April 1987, S. 3.	Grammar Mistake
Das Klavierspiel war geprägt von Entschlossenheit und Gefühl, und auch das Cellospiel hatte so gar nichts Bemühtes, vielmehr etwa Reifes und dabei Engagiertes, wo nötig auch Zartes.	Clean
Vergessen Sie den Alltag für eine Weile und lassen sich mit mit einer duftenden Aromamassage im familiären 4-Sterne-Wellnesshotel in Baden-Württemberg rundum verwöhnen.	Clean
Aber keine Belastung ist so hoch, wie die durch die Laugeneinleitungen.	Clean
In der Neutroneninterferometrie, die Anfang der siebziger Jahre unter Leitung von H. Rauch in Wien ins Leben gerufen wurde, studiert man die Interferenzen von Neutronenstrahlen.	Clean
Die Kolbenstangen laufen soft und geschmeidig, was dem Dämpfungsverhalten zu Gute kommt.	Clean
Wichtig ist hier, dass Sie neben einer professionellen Bewerbung auch ein klares und realistisches Selbstverständnis von sich und Ihren Zielen entwickeln.	Clean
Sein sportliches Karomuster macht das Herrenhemd Jack zu einem absoluten Modeklassiker!	Clean
Die Pfanne enthält noch Fettrückstände vom vorherigen Gebrauch.	Clean
Die Empfänger erhalten die Information, dass Sie die entsprechende Website unseres Online-Angebots aufgerufen haben und die unter Abs. 3 dieser Erklärung genannten Daten.	Clean
Dennoch nennen scheinbar einige Leute all diese verschiedenen Arten einfach Colostoma.	Clean
Sie bietet vielseitige objektive und subjektive Prüfmöglichkeiten mit Drehzahlen bis 3.250 U/min und Bremsmomenten bis max. 95 Nm.	Clean
„Je tiefer wir das Leiden durchschauen, umso näher kommen wir dem Ziel der Befreiung vom Leiden.“	Clean
S.V. ist gerne im Garten unterwegs.	Clean
Der bewegende Charakter der ›Leidensgeschichte‹ ruft eine dem Autor bei allem Erfolg unliebsame Reaktion hervor.	Clean
Regelungstechniker im Bereich Mechatronik/Hydraulik (m/w)	Sentence Boundary,Grammar Mistake
Die Biographie Mohameds wurde 200 Jahre nach dessen Tod verschriftlicht - mit politischer Intention: Muslimische Fürsten suchten ihre Position zu sichern und dem christlichen Jesus eine eigene, die Herrschaft legitimierende Erlöserfigur entgegenzusetzen.	Clean
Wir GRÜNEN sind strikt gegen eine Haushaltspolitik zu Lasten künftiger Generationen.	Spelling Anomaly
Meningokokken sind Bakterien, die vor allem für Säuglinge und Kleinkinder eine Gefahr darstellen.	Clean
„Wie NSA-Affäre, Spionage-Malware und Trends wie Mobility zeigen, reichen punktuelle Maßnahmen wie Firewall und Virenfilter nicht aus, um geschäftskritische Informationen zu schützen“, erklärt CEMA-Vorstand Rolf Braun.	Clean
Zunächst gilt es zu wissen, dass einige Fahrzeuge konstruktionsbedingt einen höheren Verbrauch an Motoröl aufweisen.	Clean
Das zeigt, dass der Rückgang der Energiepreise wesentlich für die negative Inflationsrate verantwortlich ist.	Clean
Mit spielerischer Leidenschaft begann Bo, sanft in ihre Unterlippe zu beißen.	Clean
Şimşek war bislang unter anderem bei mobilcom-debitel und Unitymedia beschäftigt.	Clean
Deutschland müsse „intensiv darüber nachdenken, wie es größere militärische Beiträge im Rahmen von UN, NATO und EU leisten kann“.	Clean
Mit dem Newsletter Agrarmärkte möchten wir Sie 6 mal im Jahr über aktuelle Entwicklungen auf den landwirtschaftlichen Märkten informieren.	Clean
des Gutsbezirks Goschütz (teilweise) in die Landgemeinde Goschütz.	Sentence Boundary,Grammar Mistake
Seit Dezember 2017 vermisst gewesen	Sentence Boundary,Grammar Mistake
FP Green kugelgelagert wäre sicherlich auch eine gute Alternative.	Clean
Denn, wo solches nicht geschieht, da hat man dem Wort und Verordnung noch kein Genüge getan, weil das Wort zum Element kommen muss, anders mag es kein Sakrament sein.	Clean
Schlussendlich sollten aber die Klausurergebnisse Gradmesser der Wirksamkeit des Projektes werden.	Clean
Ideal für schmale Räume oder Flure mit wenig Platz.	Clean
Mit etwas Ausdauer beim Suchen nach einem passenden Angeboten klappt das aber dennoch.	Clean
Sie zusätzlich mit einem Durchlauferhitzer (Thermoblock), statt einem Boiler.	Grammar Mistake
Der Mann mit der Kippa und dem weißen Bart will der Menschheit dabei helfen, von fossilen Brennstoffen als Energiequelle wegzukommen.	Clean
Mit Hilfe von Schüssel und Stift einen Kreis auf den goldenen Fotokarton zeichnen und ausschneiden.	Clean
Oder ganz pragmatisch betrachtet: Wenn ihr die Traum-Location gefunden habt, an der die Party steigen soll, könnt ihr euch auch direkt dort trauen lassen – im eigenen Garten, im Schlosshotel oder in der Partyscheune.	Clean
Als Unternehmen erhält man auf diese Weise sehr schnell einen Überblick über die Situation am Point of Sale.	Clean
Elektrofahrzeuge erfordern aufgrund der hohen Batteriegewichte eine höhere Lasttragfähigkeit der Reifen.	Clean
in strategischen Bahnen zu denken	Sentence Boundary,Grammar Mistake
Möglicherweise hatte Adolf Schröder den Beginn geschrieben, und Regisseur Günter Gräwert hat am Ende noch mal Hand angelegt, da ihm der Schluss nicht gefiel, oder Schröder in Verzug geraten war.	Clean
Je nach verwendeter Spirituose hat man teilweise mit unterschiedlichen Süßungsquellen gearbeitet, so wurde beim „Gin Rickey“ mit Maraschino oder Grenadine, beim „Rum Rickey“ mit Falernum oder Orgeat und bei Brandy oder Whisk(e)y mit Curaçao gesüßt.	Clean
Alle drei Monate werden die Flaschen gewissenhaft und planvoll einmal abgestaubt und umgedreht.	Clean
Gegenteiliges kann ich bei dem Schutz der Raucher gegenüber der Verwässerung des Nichtraucherschutzes nicht feststellen.	Clean
Wenn alles gut geht, werden die ersten Geräte noch dieses Jahr (2017) auf dem Markt erscheinen.	Clean
